Date,EUR/CHF Close,EUR/CHF High,EUR/CHF Low
1/1/1999,1.6116,1.6116,1.6116
1/4/1999,1.617,1.6205,1.6075
1/5/1999,1.6145,1.6185,1.6085
1/6/1999,1.6184,1.6205,1.608
1/7/1999,1.6139,1.6245,1.61
1/8/1999,1.6137,1.62,1.61
1/11/1999,1.611,1.615,1.6075
1/12/1999,1.604,1.6135,1.6002
1/13/1999,1.5927,1.606,1.5765
1/14/1999,1.5894,1.597,1.5872
1/15/1999,1.5986,1.6017,1.584
1/18/1999,1.5985,1.6055,1.596
1/19/1999,1.5963,1.6035,1.5928
1/20/1999,1.6059,1.611,1.5965
1/21/1999,1.6054,1.6088,1.5979
1/22/1999,1.604,1.607,1.5962
1/25/1999,1.6023,1.6058,1.594
1/26/1999,1.6061,1.6077,1.599
1/27/1999,1.6126,1.6162,1.6045
1/28/1999,1.6107,1.6154,1.608
1/29/1999,1.6074,1.6145,1.6079
2/1/1999,1.6062,1.6115,1.6043
2/2/1999,1.6033,1.61,1.5977
2/3/1999,1.6016,1.6059,1.595
2/4/1999,1.6032,1.606,1.5981
2/5/1999,1.6012,1.6045,1.5964
2/8/1999,1.6025,1.604,1.5975
2/9/1999,1.604,1.6056,1.5985
2/10/1999,1.595,1.603,1.592
2/11/1999,1.6028,1.6039,1.5945
2/12/1999,1.5973,1.602,1.5936
2/15/1999,1.597,1.599,1.5945
2/16/1999,1.5966,1.6006,1.594
2/17/1999,1.5986,1.6011,1.5955
2/18/1999,1.5991,1.6018,1.5951
2/19/1999,1.6003,1.6038,1.597
2/22/1999,1.5983,1.603,1.5957
2/23/1999,1.5935,1.6005,1.5906
2/24/1999,1.5912,1.596,1.5908
2/25/1999,1.5886,1.596,1.5844
2/26/1999,1.5938,1.595,1.5865
3/1/1999,1.5925,1.5958,1.5902
3/2/1999,1.5915,1.5958,1.5899
3/3/1999,1.5901,1.595,1.5877
3/4/1999,1.5891,1.5923,1.5852
3/5/1999,1.5914,1.5943,1.588
3/8/1999,1.5917,1.594,1.59
3/9/1999,1.5962,1.5995,1.591
3/10/1999,1.5982,1.602,1.5945
3/11/1999,1.6041,1.6056,1.5918
3/12/1999,1.599,1.603,1.5963
3/15/1999,1.6025,1.6041,1.5975
3/16/1999,1.5987,1.6024,1.5945
3/17/1999,1.597,1.6015,1.5936
3/18/1999,1.5997,1.6047,1.594
3/19/1999,1.598,1.6004,1.5959
3/22/1999,1.5961,1.6,1.5949
3/23/1999,1.5921,1.5985,1.5911
3/24/1999,1.594,1.5963,1.589
3/25/1999,1.5943,1.5982,1.591
3/26/1999,1.5931,1.5977,1.5912
3/29/1999,1.5935,1.597,1.5912
3/30/1999,1.5973,1.6015,1.5925
3/31/1999,1.5955,1.599,1.594
4/1/1999,1.5966,1.599,1.5935
4/2/1999,1.5968,1.598,1.5945
4/5/1999,1.5952,1.5993,1.5947
4/6/1999,1.597,1.5998,1.5935
4/7/1999,1.5965,1.5989,1.5934
4/8/1999,1.5961,1.5994,1.5925
4/9/1999,1.6012,1.6014,1.5945
4/12/1999,1.6065,1.6077,1.6
4/13/1999,1.6056,1.6075,1.6015
4/14/1999,1.6033,1.607,1.6018
4/15/1999,1.6035,1.6063,1.6015
4/16/1999,1.6013,1.6065,1.6
4/19/1999,1.602,1.6035,1.5992
4/20/1999,1.6014,1.606,1.5985
4/21/1999,1.6012,1.603,1.5977
4/22/1999,1.6017,1.603,1.5985
4/23/1999,1.6035,1.6067,1.599
4/26/1999,1.6027,1.6044,1.5995
4/27/1999,1.6085,1.6088,1.6015
4/28/1999,1.6074,1.6102,1.6059
4/29/1999,1.6111,1.6122,1.6055
4/30/1999,1.6113,1.6139,1.6097
5/3/1999,1.6113,1.6132,1.609
5/4/1999,1.6069,1.6125,1.6043
5/5/1999,1.6054,1.6075,1.6029
5/6/1999,1.608,1.61,1.6035
5/7/1999,1.6088,1.61,1.605
