Date,EUR/GBP Close,EUR/GBP High,EUR/GBP Low
1/1/1999,0.7064,0.7064,0.7064
1/4/1999,0.7138,0.7138,0.707
1/5/1999,0.7117,0.7151,0.7092
1/6/1999,0.7012,0.7128,0.7005
1/7/1999,0.7096,0.7102,0.7025
1/8/1999,0.7051,0.7117,0.7037
1/11/1999,0.705,0.7075,0.702
1/12/1999,0.7083,0.7096,0.7025
1/13/1999,0.7072,0.7115,0.7065
1/14/1999,0.7067,0.7087,0.7045
1/15/1999,0.7016,0.7075,0.7005
1/18/1999,0.702,0.703,0.7
1/19/1999,0.7015,0.703,0.6977
1/20/1999,0.7022,0.7041,0.699
1/21/1999,0.702,0.7045,0.6997
1/22/1999,0.7004,0.7035,0.6992
1/25/1999,0.6974,0.701,0.6965
1/26/1999,0.6968,0.6981,0.6955
1/27/1999,0.6952,0.698,0.6935
1/28/1999,0.6921,0.6965,0.6909
1/29/1999,0.6903,0.694,0.6893
2/1/1999,0.689,0.693,0.6879
2/2/1999,0.6922,0.6922,0.686
2/3/1999,0.6917,0.6935,0.6905
2/4/1999,0.689,0.692,0.6875
2/5/1999,0.6902,0.6915,0.6873
2/8/1999,0.6908,0.6912,0.688
2/9/1999,0.6902,0.692,0.6895
2/10/1999,0.6962,0.6978,0.69
2/11/1999,0.6926,0.6985,0.6919
2/12/1999,0.6915,0.693,0.69
2/15/1999,0.6906,0.6925,0.688
2/16/1999,0.6856,0.6905,0.6833
2/17/1999,0.6874,0.688,0.6835
2/18/1999,0.6851,0.6889,0.684
2/19/1999,0.6823,0.686,0.6803
2/22/1999,0.6786,0.6825,0.677
2/23/1999,0.6822,0.6829,0.6775
2/24/1999,0.6883,0.6892,0.6805
2/25/1999,0.6886,0.69,0.687
2/26/1999,0.6878,0.689,0.6847
3/1/1999,0.6767,0.689,0.676
3/2/1999,0.6764,0.6785,0.6752
3/3/1999,0.675,0.6775,0.6715
3/4/1999,0.6718,0.6758,0.6714
3/5/1999,0.674,0.6753,0.671
3/8/1999,0.6769,0.68,0.6735
3/9/1999,0.6728,0.677,0.6714
3/10/1999,0.6732,0.6765,0.6725
3/11/1999,0.6742,0.6749,0.6644
3/12/1999,0.6688,0.675,0.6661
3/15/1999,0.674,0.6754,0.669
3/16/1999,0.6753,0.6759,0.6675
3/17/1999,0.675,0.677,0.6727
3/18/1999,0.6733,0.678,0.6728
3/19/1999,0.6688,0.675,0.6684
3/22/1999,0.6703,0.6704,0.6675
3/23/1999,0.6661,0.6715,0.6658
3/24/1999,0.6659,0.6685,0.6638
3/25/1999,0.6674,0.668,0.6645
3/26/1999,0.6633,0.6685,0.6615
3/29/1999,0.6643,0.665,0.6605
3/30/1999,0.6647,0.6681,0.6627
3/31/1999,0.6675,0.6705,0.6635
4/1/1999,0.6729,0.6744,0.666
4/2/1999,0.6724,0.6735,0.6715
4/5/1999,0.6694,0.6725,0.6685
4/6/1999,0.6815,0.6818,0.6695
4/7/1999,0.6754,0.6812,0.6747
4/8/1999,0.6695,0.6758,0.6675
4/9/1999,0.6713,0.6732,0.6685
4/12/1999,0.6727,0.673,0.67
4/13/1999,0.6665,0.671,0.6662
4/14/1999,0.6702,0.6706,0.666
4/15/1999,0.6651,0.6705,0.6645
4/16/1999,0.6635,0.6655,0.6611
4/19/1999,0.6603,0.663,0.656
4/20/1999,0.6601,0.662,0.6578
4/21/1999,0.661,0.6615,0.658
4/22/1999,0.6573,0.6635,0.656
4/23/1999,0.6573,0.6605,0.6561
4/26/1999,0.6567,0.658,0.6555
4/27/1999,0.6587,0.6605,0.6565
4/28/1999,0.6584,0.6605,0.657
4/29/1999,0.6586,0.6589,0.656
4/30/1999,0.6577,0.6605,0.6554
5/3/1999,0.6572,0.6583,0.6558
5/4/1999,0.6526,0.6575,0.6516
5/5/1999,0.6561,0.658,0.6525
5/6/1999,0.6588,0.6615,0.657
5/7/1999,0.6591,0.6616,0.658
5/10/1999,0.6642,0.6644,0.658
5/11/1999,0.66,0.6645,0.6592
5/12/1999,0.6584,0.6621,0.6575
5/13/1999,0.6581,0.659,0.6552
5/14/1999,0.6581,0.6617,0.6565
5/17/1999,0.6592,0.66,0.6575
5/18/1999,0.658,0.661,0.6566
5/19/1999,0.6592,0.6595,0.6566
5/20/1999,0.6615,0.6618,0.6589
5/21/1999,0.6608,0.661,0.6585
5/24/1999,0.6636,0.664,0.659
5/25/1999,0.6614,0.6645,0.6602
5/26/1999,0.6557,0.662,0.6546
5/27/1999,0.6527,0.6565,0.6525
5/28/1999,0.6495,0.6555,0.6492
5/31/1999,0.6502,0.6533,0.65
6/1/1999,0.6481,0.6525,0.6474
6/2/1999,0.6448,0.649,0.6424
6/3/1999,0.6427,0.6475,0.6424
6/4/1999,0.6439,0.6447,0.6405
6/7/1999,0.6426,0.6443,0.6385
6/8/1999,0.6516,0.6518,0.642
6/9/1999,0.6532,0.6548,0.651
6/10/1999,0.6529,0.656,0.6525
6/11/1999,0.6516,0.6545,0.6506
6/14/1999,0.6485,0.652,0.6468
6/15/1999,0.6543,0.6635,0.6506
6/16/1999,0.6493,0.655,0.6469
6/17/1999,0.6493,0.6505,0.6457
6/18/1999,0.6507,0.6535,0.6465
6/21/1999,0.65,0.6535,0.649
6/22/1999,0.6493,0.6515,0.6483
6/23/1999,0.6534,0.6537,0.649
6/24/1999,0.6552,0.657,0.6517
6/25/1999,0.6571,0.6589,0.656
6/28/1999,0.6542,0.6575,0.6539
6/29/1999,0.6563,0.6568,0.6535
6/30/1999,0.6552,0.6565,0.6531
7/1/1999,0.6505,0.658,0.6479
7/2/1999,0.6487,0.6503,0.6479
7/5/1999,0.649,0.6498,0.648
7/6/1999,0.6551,0.6564,0.6475
7/7/1999,0.6548,0.657,0.6542
7/8/1999,0.6549,0.6556,0.6526
7/9/1999,0.6573,0.659,0.654
7/12/1999,0.6519,0.657,0.6509
7/13/1999,0.6532,0.655,0.65
7/14/1999,0.6531,0.6544,0.6516
7/15/1999,0.652,0.6536,0.6509
7/16/1999,0.6525,0.6535,0.6505
7/19/1999,0.6516,0.6543,0.65
7/20/1999,0.6637,0.6644,0.6525
7/21/1999,0.6669,0.6685,0.664
7/22/1999,0.664,0.6673,0.6616
7/23/1999,0.6662,0.6673,0.6625
7/26/1999,0.6705,0.674,0.6645
7/27/1999,0.6678,0.672,0.6667
7/28/1999,0.6673,0.6705,0.6667
7/29/1999,0.663,0.6695,0.661
7/30/1999,0.6599,0.665,0.6579
8/2/1999,0.6608,0.6616,0.657
8/3/1999,0.6595,0.6615,0.6579
8/4/1999,0.6642,0.6653,0.6595
8/5/1999,0.667,0.6685,0.6645
8/6/1999,0.6678,0.6685,0.663
8/9/1999,0.6665,0.6689,0.6645
8/10/1999,0.6633,0.668,0.6631
8/11/1999,0.6616,0.664,0.6608
8/12/1999,0.6615,0.662,0.66
8/13/1999,0.6581,0.6625,0.6564
8/16/1999,0.66,0.6608,0.6581
8/17/1999,0.6555,0.6586,0.6549
8/18/1999,0.6569,0.6576,0.654
8/19/1999,0.657,0.6589,0.6545
8/20/1999,0.6608,0.6612,0.657
8/23/1999,0.6555,0.6605,0.6525
8/24/1999,0.6605,0.6614,0.6505
8/25/1999,0.6576,0.6615,0.6556
8/26/1999,0.6579,0.6593,0.656
8/27/1999,0.6587,0.6595,0.6575
8/30/1999,0.6582,0.66,0.6572
8/31/1999,0.6582,0.6605,0.6551
9/1/1999,0.6596,0.6611,0.6575
9/2/1999,0.6645,0.6657,0.6582
9/3/1999,0.6615,0.6655,0.66
9/6/1999,0.6589,0.662,0.6585
9/7/1999,0.6598,0.66,0.6565
9/8/1999,0.6542,0.661,0.6526
9/9/1999,0.6445,0.6555,0.6439
9/10/1999,0.6399,0.647,0.6395
9/13/1999,0.6475,0.6485,0.6385
9/14/1999,0.6441,0.6498,0.643
9/15/1999,0.6438,0.6466,0.6413
9/16/1999,0.6409,0.647,0.639
9/17/1999,0.6416,0.643,0.638
9/20/1999,0.6408,0.6455,0.6405
9/21/1999,0.6429,0.6431,0.6376
9/22/1999,0.6416,0.6445,0.6377
9/23/1999,0.6375,0.6415,0.6344
9/24/1999,0.6361,0.64,0.6345
9/27/1999,0.6359,0.6378,0.6317
9/28/1999,0.6391,0.6404,0.6345
9/29/1999,0.6471,0.6478,0.638
9/30/1999,0.6481,0.649,0.645
10/1/1999,0.6492,0.652,0.6457
10/4/1999,0.6485,0.649,0.646
10/5/1999,0.6486,0.649,0.6456
10/6/1999,0.6455,0.65,0.6453
10/7/1999,0.6483,0.6502,0.645
10/8/1999,0.643,0.649,0.6423
10/11/1999,0.643,0.644,0.642
10/12/1999,0.6493,0.6503,0.642
10/13/1999,0.6518,0.653,0.6495
10/14/1999,0.6483,0.6535,0.6483
10/15/1999,0.6521,0.6532,0.648
10/18/1999,0.6497,0.653,0.6487
10/19/1999,0.6481,0.6495,0.6458
10/20/1999,0.6459,0.648,0.6449
10/21/1999,0.6453,0.647,0.6434
10/22/1999,0.6439,0.6452,0.6415
10/25/1999,0.641,0.6455,0.6409
10/26/1999,0.6403,0.643,0.6393
10/27/1999,0.6386,0.642,0.6378
10/28/1999,0.6429,0.6433,0.6375
10/29/1999,0.641,0.643,0.638
11/1/1999,0.6399,0.6435,0.6383
11/2/1999,0.6391,0.6416,0.6367
11/3/1999,0.6379,0.6395,0.6352
11/4/1999,0.6389,0.6412,0.6352
11/5/1999,0.6433,0.6438,0.638
11/8/1999,0.6404,0.644,0.64
11/9/1999,0.6404,0.6423,0.64
11/10/1999,0.6418,0.6425,0.6406
11/11/1999,0.641,0.642,0.6408
11/12/1999,0.6386,0.6424,0.6379
11/15/1999,0.6364,0.64,0.6347
11/16/1999,0.6379,0.6389,0.6359
11/17/1999,0.6404,0.6412,0.6375
11/18/1999,0.6371,0.641,0.6359
11/19/1999,0.6361,0.639,0.6345
11/22/1999,0.6367,0.638,0.6355
11/23/1999,0.6327,0.637,0.6317
11/24/1999,0.6337,0.634,0.631
11/25/1999,0.6317,0.6335,0.63
11/26/1999,0.6324,0.6329,0.628
11/29/1999,0.6292,0.634,0.6274
11/30/1999,0.6308,0.6335,0.629
12/1/1999,0.63,0.633,0.6291
12/2/1999,0.6265,0.631,0.6258
12/3/1999,0.6261,0.627,0.6246
12/6/1999,0.6314,0.6335,0.625
12/7/1999,0.6307,0.632,0.628
12/8/1999,0.6311,0.6316,0.6291
12/9/1999,0.6286,0.6315,0.6257
12/10/1999,0.6244,0.6285,0.623
12/13/1999,0.6243,0.6255,0.6227
12/14/1999,0.6239,0.6253,0.6205
12/15/1999,0.6276,0.6282,0.623
12/16/1999,0.6314,0.6318,0.6265
12/17/1999,0.6283,0.633,0.6262
12/20/1999,0.6302,0.6312,0.626
12/21/1999,0.6258,0.629,0.6251
12/22/1999,0.6275,0.6282,0.6246
12/23/1999,0.6286,0.6296,0.6265
12/24/1999,0.626,0.6285,0.6251
12/27/1999,0.626,0.6282,0.6246
12/28/1999,0.6227,0.6275,0.6212
12/29/1999,0.621,0.6245,0.6201
12/30/1999,0.6237,0.6247,0.62
12/31/1999,0.6243,0.6255,0.6216
1/3/2000,0.6269,0.628,0.6214
1/4/2000,0.6291,0.6316,0.6245
1/5/2000,0.6284,0.6332,0.6274
1/6/2000,0.6251,0.6307,0.6248
1/7/2000,0.6276,0.6294,0.6243
1/10/2000,0.6266,0.6285,0.624
1/11/2000,0.6266,0.6285,0.6245
1/12/2000,0.6257,0.6267,0.6236
1/13/2000,0.623,0.6265,0.6222
1/14/2000,0.6205,0.6224,0.6183
1/17/2000,0.6198,0.62,0.6175
1/18/2000,0.6187,0.6195,0.617
1/19/2000,0.616,0.6177,0.6148
1/20/2000,0.6148,0.6165,0.6111
1/21/2000,0.6122,0.6155,0.6088
1/24/2000,0.6087,0.6095,0.6054
1/25/2000,0.6092,0.6115,0.6077
1/26/2000,0.6112,0.6122,0.6085
1/27/2000,0.6028,0.6125,0.6021
1/28/2000,0.6029,0.6068,0.5996
1/31/2000,0.6,0.6065,0.5985
2/1/2000,0.6025,0.6051,0.599
2/2/2000,0.6075,0.6097,0.6015
2/3/2000,0.6206,0.624,0.6055
2/4/2000,0.6182,0.626,0.6124
2/7/2000,0.614,0.6175,0.6128
2/8/2000,0.6119,0.619,0.6111
2/9/2000,0.6147,0.6182,0.612
2/10/2000,0.613,0.6159,0.611
2/11/2000,0.6192,0.6206,0.612
2/14/2000,0.6179,0.6235,0.615
2/15/2000,0.6151,0.618,0.6131
2/16/2000,0.6138,0.6155,0.6126
2/17/2000,0.6147,0.6166,0.6132
2/18/2000,0.6158,0.6176,0.613
2/21/2000,0.617,0.6175,0.616
2/22/2000,0.6234,0.6275,0.618
2/23/2000,0.6257,0.6266,0.6225
2/24/2000,0.621,0.626,0.6188
2/25/2000,0.6113,0.621,0.6113
2/28/2000,0.6095,0.612,0.5915
2/29/2000,0.6118,0.616,0.605
3/1/2000,0.6141,0.6145,0.6102
3/2/2000,0.6126,0.617,0.6092
3/3/2000,0.6087,0.6135,0.6069
3/6/2000,0.6092,0.6125,0.6055
3/7/2000,0.6067,0.611,0.6047
3/8/2000,0.608,0.6082,0.6038
3/9/2000,0.612,0.613,0.6075
3/10/2000,0.6108,0.6123,0.6087
3/13/2000,0.6112,0.6148,0.6098
3/14/2000,0.6134,0.6145,0.61
3/15/2000,0.6154,0.6172,0.613
3/16/2000,0.6166,0.6177,0.614
3/17/2000,0.6185,0.6189,0.6138
3/20/2000,0.6201,0.6208,0.6175
3/21/2000,0.613,0.6205,0.6121
3/22/2000,0.6089,0.6145,0.6087
3/23/2000,0.6126,0.6138,0.6085
3/24/2000,0.6122,0.6145,0.61
3/27/2000,0.6084,0.614,0.6078
3/28/2000,0.605,0.611,0.605
3/29/2000,0.5958,0.6135,0.5952
3/30/2000,0.6021,0.6038,0.597
3/31/2000,0.5997,0.6035,0.5975
4/3/2000,0.5995,0.6015,0.5966
4/4/2000,0.6037,0.6071,0.5967
4/5/2000,0.6079,0.6107,0.602
4/6/2000,0.6073,0.608,0.6047
4/7/2000,0.604,0.6071,0.6035
4/10/2000,0.6069,0.6077,0.604
4/11/2000,0.6045,0.608,0.6027
4/12/2000,0.6028,0.605,0.6002
4/13/2000,0.6006,0.604,0.5991
4/14/2000,0.6038,0.6049,0.5995
4/17/2000,0.6022,0.608,0.6011
4/18/2000,0.6003,0.6023,0.5993
4/19/2000,0.5952,0.6005,0.5932
4/20/2000,0.5934,0.5961,0.5923
4/21/2000,0.5937,0.5946,0.5926
4/24/2000,0.5948,0.5977,0.594
4/25/2000,0.5929,0.5955,0.5801
4/26/2000,0.5858,0.5865,0.581
4/27/2000,0.5779,0.5862,0.5745
4/28/2000,0.5858,0.5865,0.577
5/1/2000,0.5904,0.5906,0.5833
5/2/2000,0.582,0.5895,0.5795
5/3/2000,0.5733,0.583,0.5688
5/4/2000,0.5779,0.5829,0.569
5/5/2000,0.5884,0.5888,0.5775
5/8/2000,0.5855,0.5895,0.5823
5/9/2000,0.5914,0.5926,0.5831
5/10/2000,0.6013,0.6043,0.5915
5/11/2000,0.5985,0.608,0.598
5/12/2000,0.6067,0.6072,0.595
5/15/2000,0.6054,0.6067,0.603
5/16/2000,0.6042,0.608,0.6025
