Date,EUR/JPY Close,EUR/JPY High,EUR/JPY Low
1/1/1999,133.27,133.27,133.27
1/4/1999,132.44,135.15,132.1
1/5/1999,130.91,132.85,130.6
1/6/1999,131.09,132.5,131
1/7/1999,129.94,131.45,128.5
1/8/1999,131.05,131.05,128.5
1/11/1999,124.8,128.5,124.55
1/12/1999,129.93,130.16,124.85
1/13/1999,131.86,133.69,129.15
1/14/1999,132.82,133.85,131.25
1/15/1999,132.12,132.8,131.14
1/18/1999,132.55,133.35,131.4
1/19/1999,131.78,133,131.6
1/20/1999,130.39,131.85,130.21
1/21/1999,131.82,132.81,129.9
1/22/1999,132.86,132.98,131.7
1/25/1999,131.65,132.95,131.27
1/26/1999,131.74,132.31,131
1/27/1999,132.29,133.03,130.8
1/28/1999,132.93,132.97,131.75
1/29/1999,132.31,132.95,131.53
2/1/1999,130.19,132,129.63
2/2/1999,127.15,130.4,126.76
2/3/1999,127.71,128.07,126.85
2/4/1999,127.35,129,126.16
2/5/1999,127.55,128.23,126.65
2/8/1999,129.68,130.02,127
2/9/1999,129.12,130.2,128.79
2/10/1999,129.69,130.99,128.8
2/11/1999,128.74,129.8,128.55
2/12/1999,129.15,129.9,127.98
2/15/1999,129.65,130.1,128.35
2/16/1999,133.05,133.38,129.8
2/17/1999,133.84,133.9,132.4
2/18/1999,134.23,134.83,133.2
2/19/1999,133.95,134.95,133.55
2/22/1999,133.39,135,132.58
2/23/1999,133.06,133.75,132.45
2/24/1999,133.77,134.03,132.75
2/25/1999,132.13,134,131.81
2/26/1999,131.15,133.05,130.14
3/1/1999,130.35,131.5,130.23
3/2/1999,131.4,131.95,130.35
3/3/1999,132.58,132.8,131.3
3/4/1999,133.42,134.18,132.31
3/5/1999,132.76,133.55,132.44
3/8/1999,132.4,133.2,131.7
3/9/1999,131.66,132.8,131.62
3/10/1999,131.22,132.2,131
3/11/1999,131.63,132,129.54
3/12/1999,129.55,132.65,129.5
3/15/1999,128.73,130.25,128.39
3/16/1999,129.48,129.63,127.3
3/17/1999,129.86,130.8,128.95
3/18/1999,128.83,131.05,128.79
3/19/1999,127.65,129.2,127.54
3/22/1999,128.89,129.14,127.5
